Project_ID,Project_Name,Category,Contractor,Start_Date,Planned_End_Date,Actual_End_Date,Budget_MYR,Actual_Cost_MYR,Delay_Days
P0001,Project_1,,,2023-10-17,2024-05-08,2024-05-08,70737657,,0.0
P0002,Project_2,Commercial,,2022-02-02,2022-06-02,2022-06-02,,"61,335,478",0.0
P0003,Project_3,Residential,,2023-08-27,2024-09-04,2024-09-04,118444689,RM 113045722,0.0
P0004,Project_4,Industrial,IJM,2022-04-10,2023-07-11,2023-07-11,76006778,87818696abc,
P0005,Project_5,Infrastructure,IJM,2023-07-20,2024-08-13,2024-08-13,"102,075,663",117039969,
P0006,Project_6,Infrastructure,UEM,2024-05-25,2025-04-18,2025-05-23,RM79617971,"97,872,745",35.0
P0007,Project_7,Infrastructure,UEM,2023-11-18,2024-11-15,2024-11-15,,50210418.00,0.0
P0008,Project_8,,SP Setia,2023-12-03,2025-01-28,2025-01-28,"13,616,842",14167066,0.0
P0009,Project_9,,,2022-08-06,2024-03-29,2024-07-18,RM43351800,45781228abc,111.0
P0010,Project_10,Commercial,Sunway,2023-08-21,2024-12-31,2024-12-31,42133144,39260434,0.0
P0011,Project_11,,Gamuda,2024-03-22,2025-08-26,2025-08-26,RM108285188,135209486abc,0.0
P0012,Project_12,Infrastructure,Sunway,2023-11-28,2024-06-22,2024-06-22,96315158,101339711.00,0.0
P0013,Project_13,,SP Setia,2023-06-04,2023-12-19,2023-12-19,141274717,"134,704,558",0.0
P0014,Project_14,Residential,,2023-05-16,2023-09-02,2023-09-02,87547695,86173638abc,0.0
P0015,Project_15,,,2024-04-15,2024-09-22,2024-09-22,RM39464821,"48,596,863",0.0
P0016,Project_16,Residential,UEM,2022-08-05,2024-05-08,2024-05-08,,126392113.00,0.0
P0017,Project_17,Commercial,IJM,2022-08-19,2023-01-21,2023-01-21,66770953,,0.0
P0018,Project_18,,,2022-02-02,2023-04-06,2023-04-06,"68,888,882",73703875abc,
P0019,Project_19,Industrial,Gamuda,2022-09-06,2024-04-02,2024-04-02,,31862723.00,0.0
P0020,Project_20,,,2023-11-21,2024-05-29,2024-06-23,"96,080,848","93,236,359",25.0
P0021,Project_21,Residential,Gamuda,2022-05-24,2023-10-28,2023-10-28,129185777,158012673.00,0.0
P0022,Project_22,Industrial,Gamuda,2022-04-06,2023-03-04,2023-04-25,"135,363,297",170692754,52.0
P0023,Project_23,Commercial,UEM,2023-02-04,2024-01-31,2024-01-31,,137005729abc,0.0
P0024,Project_24,,Sunway,2022-10-31,2023-09-08,2023-09-08,,19654285abc,
P0025,Project_25,Residential,UEM,2022-02-28,2023-10-31,2023-10-31,,"26,582,666",0.0
P0026,Project_26,Infrastructure,UEM,2023-08-16,2025-07-14,2025-07-14,RM27007253,29823712abc,
P0027,Project_27,Residential,Gamuda,2023-11-17,2025-01-01,2025-01-01,RM111242954,125251253.00,0.0
P0028,Project_28,Commercial,SP Setia,2023-04-15,2025-02-09,2025-02-09,149320136,RM 148248039,0.0
P0029,Project_29,,WCT,2022-10-19,2023-06-27,2023-06-27,86206326,,
P0030,Project_30,Infrastructure,UEM,2023-11-11,2024-05-25,2024-05-25,RM35985146,"41,737,221",0.0
P0031,Project_31,Industrial,WCT,2024-01-05,2025-03-21,2025-03-21,140669711,171176437,0.0
P0032,Project_32,,Gamuda,2022-02-15,2022-05-19,2022-05-19,,,0.0
P0033,Project_33,Commercial,Gamuda,2022-04-25,2022-10-09,2022-10-09,,"16,195,252",
P0034,Project_34,,Sunway,2022-11-12,2024-02-18,2024-02-18,,RM 69583320,0.0
