Project_ID,Project_Name,Category,Contractor,Start_Date,Planned_End_Date,Actual_End_Date,Budget_MYR,Actual_Cost_MYR,Delay_Days
P0001,Project_1,,,17/10/2023,08/05/2024,08/05/2024,70737657,,0
P0002,Project_2,Commercial,,02/02/2022,02/06/2022,02/06/2022,,61335478,0
P0003,Project_3,Residential,,27/08/2023,04/09/2024,04/09/2024,118444689,RM 113045722,0
P0004,Project_4,Industrial,IJM,10/04/2022,11/07/2023,11/07/2023,76006778,87818696abc,
P0005,Project_5,Infrastructure,IJM,20/07/2023,13/08/2024,13/08/2024,102075663,117039969,
P0006,Project_6,Infrastructure,UEM,25/05/2024,18/04/2025,23/05/2025,RM79617971,97872745,35
P0007,Project_7,Infrastructure,UEM,18/11/2023,15/11/2024,15/11/2024,,50210418,0
P0008,Project_8,,SP Setia,03/12/2023,28/01/2025,28/01/2025,13616842,14167066,0
P0009,Project_9,,,06/08/2022,29/03/2024,18/07/2024,RM43351800,45781228abc,111
P0010,Project_10,Commercial,Sunway,21/08/2023,31/12/2024,31/12/2024,42133144,39260434,0
P0011,Project_11,,Gamuda,22/03/2024,26/08/2025,26/08/2025,RM108285188,135209486abc,0
P0012,Project_12,Infrastructure,Sunway,28/11/2023,22/06/2024,22/06/2024,96315158,101339711,0
P0013,Project_13,,SP Setia,04/06/2023,19/12/2023,19/12/2023,141274717,134704558,0
P0014,Project_14,Residential,,16/05/2023,02/09/2023,02/09/2023,87547695,86173638abc,0
P0015,Project_15,,,15/04/2024,22/09/2024,22/09/2024,RM39464821,48596863,0
P0016,Project_16,Residential,UEM,05/08/2022,08/05/2024,08/05/2024,,126392113,0
P0017,Project_17,Commercial,IJM,19/08/2022,21/01/2023,21/01/2023,66770953,,0
P0018,Project_18,,,02/02/2022,06/04/2023,06/04/2023,68888882,73703875abc,
P0019,Project_19,Industrial,Gamuda,06/09/2022,02/04/2024,02/04/2024,,31862723,0
P0020,Project_20,,,21/11/2023,29/05/2024,23/06/2024,96080848,93236359,25
P0021,Project_21,Residential,Gamuda,24/05/2022,28/10/2023,28/10/2023,129185777,158012673,0
P0022,Project_22,Industrial,Gamuda,06/04/2022,04/03/2023,25/04/2023,135363297,170692754,52
P0023,Project_23,Commercial,UEM,04/02/2023,31/01/2024,31/01/2024,,137005729abc,0
P0024,Project_24,,Sunway,31/10/2022,08/09/2023,08/09/2023,,19654285abc,
P0025,Project_25,Residential,UEM,28/02/2022,31/10/2023,31/10/2023,,26582666,0
P0026,Project_26,Infrastructure,UEM,16/08/2023,14/07/2025,14/07/2025,RM27007253,29823712abc,
P0027,Project_27,Residential,Gamuda,17/11/2023,01/01/2025,01/01/2025,RM111242954,125251253,0
P0028,Project_28,Commercial,SP Setia,15/04/2023,09/02/2025,09/02/2025,149320136,RM 148248039,0
P0029,Project_29,,WCT,19/10/2022,27/06/2023,27/06/2023,86206326,,
P0030,Project_30,Infrastructure,UEM,11/11/2023,25/05/2024,25/05/2024,RM35985146,41737221,0
P0031,Project_31,Industrial,WCT,05/01/2024,21/03/2025,21/03/2025,140669711,171176437,0
P0032,Project_32,,Gamuda,15/02/2022,19/05/2022,19/05/2022,,,0
P0033,Project_33,Commercial,Gamuda,25/04/2022,09/10/2022,09/10/2022,,16195252,
P0034,Project_34,,Sunway,12/11/2022,18/02/2024,18/02/2024,,RM 69583320,0
P0035,Project_35,Infrastructure,Sunway,31/08/2022,14/05/2023,08/07/2023,11653539,14666475,55
P0036,Project_36,Infrastructure,UEM,17/03/2024,03/10/2024,03/10/2024,RM131349890,155755397,0
P0037,Project_37,,,17/08/2022,09/12/2022,09/12/2022,RM111962397,RM 134637416,0
P0038,Project_38,Residential,IJM,27/11/2023,27/08/2025,27/08/2025,RM35961814,35653452abc,0
P0039,Project_39,Infrastructure,Gamuda,03/09/2023,18/02/2025,18/02/2025,122143591,131792699,0
P0040,Project_40,Infrastructure,,27/12/2023,15/06/2025,15/06/2025,149539606,,
P0041,Project_41,Infrastructure,,13/03/2022,15/05/2023,15/05/2023,,RM 38650459,0
P0042,Project_42,,WCT,15/12/2023,10/01/2025,10/01/2025,56496683,,0
P0043,Project_43,Industrial,,20/02/2023,02/12/2024,02/12/2024,RM82017814,96372210abc,0
P0044,Project_44,Residential,UEM,29/03/2023,31/01/2024,19/06/2024,RM50551186,,140
