project_id,category,contractor,starting_date,plan_end_date,actual_end_date,budget,actual_cost,delay_days,cost_overrun_saving,cost_overrun_saving_percentage
P0001,Unknown,Unknown,2023-10-17,2024-05-08,2024-05-08,70737657,70737657,0,0,0
P0002,Commercial,Unknown,2022-02-02,2022-06-02,2022-06-02,61335478,61335478,0,0,0
P0003,Residential,Unknown,2023-08-27,2024-09-04,2024-09-04,118444689,113045722,0,-5398967,-0.0455821788683155
P0004,Industrial,IJM,2022-04-10,2023-07-11,2023-07-11,76006778,87818696,0,11811918,0.15540611391263
P0005,Infrastructure,IJM,2023-07-20,2024-08-13,2024-08-13,102075663,117039969,0,14964306,0.146600135234978
P0006,Infrastructure,UEM,2024-05-25,2025-04-18,2025-05-23,79617971,97872745,35,18254774,0.229279568051288
P0007,Infrastructure,UEM,2023-11-18,2024-11-15,2024-11-15,50210418,50210418,0,0,0
P0008,Unknown,SP Setia,2023-12-03,2025-01-28,2025-01-28,13616842,14167066,0,550224,0.0404076069914008
P0009,Unknown,Unknown,2022-08-06,2024-03-29,2024-07-18,43351800,45781228,111,2429428,0.0560398414829373
P0010,Commercial,Sunway,2023-08-21,2024-12-31,2024-12-31,42133144,39260434,0,-2872710,-0.068181714614034
P0011,Unknown,Gamuda,2024-03-22,2025-08-26,2025-08-26,108285188,135209486,0,26924298,0.248642482848162
P0012,Infrastructure,Sunway,2023-11-28,2024-06-22,2024-06-22,96315158,101339711,0,5024553,0.0521678321910659
P0013,Unknown,SP Setia,2023-06-04,2023-12-19,2023-12-19,141274717,134704558,0,-6570159,-0.0465062619803372
P0014,Residential,Unknown,2023-05-16,2023-09-02,2023-09-02,87547695,86173638,0,-1374057,-0.0156949534765022
P0015,Unknown,Unknown,2024-04-15,2024-09-22,2024-09-22,39464821,48596863,0,9132042,0.2313970206529
P0016,Residential,UEM,2022-08-05,2024-05-08,2024-05-08,126392113,126392113,0,0,0
P0017,Commercial,IJM,2022-08-19,2023-01-21,2023-01-21,66770953,66770953,0,0,0
P0018,Unknown,Unknown,2022-02-02,2023-04-06,2023-04-06,68888882,73703875,0,4814993,0.069895066666926
P0019,Industrial,Gamuda,2022-09-06,2024-04-02,2024-04-02,31862723,31862723,0,0,0
P0020,Unknown,Unknown,2023-11-21,2024-05-29,2024-06-23,96080848,93236359,25,-2844489,-0.0296051612700171
P0021,Residential,Gamuda,2022-05-24,2023-10-28,2023-10-28,129185777,158012673,0,28826896,0.223142954816148
P0022,Industrial,Gamuda,2022-04-06,2023-03-04,2023-04-25,135363297,170692754,52,35329457,0.260997314508378
P0023,Commercial,UEM,2023-02-04,2024-01-31,2024-01-31,137005729,137005729,0,0,0
P0024,Unknown,Sunway,2022-10-31,2023-09-08,2023-09-08,19654285,19654285,0,0,0
P0025,Residential,UEM,2022-02-28,2023-10-31,2023-10-31,26582666,26582666,0,0,0
P0026,Infrastructure,UEM,2023-08-16,2025-07-14,2025-07-14,27007253,29823712,0,2816459,0.104285282179569
P0027,Residential,Gamuda,2023-11-17,2025-01-01,2025-01-01,111242954,125251253,0,14008299,0.125925269837764
P0028,Commercial,SP Setia,2023-04-15,2025-02-09,2025-02-09,149320136,148248039,0,-1072097,-0.00717985550187284
P0029,Unknown,WCT,2022-10-19,2023-06-27,2023-06-27,86206326,86206326,0,0,0
P0030,Infrastructure,UEM,2023-11-11,2024-05-25,2024-05-25,35985146,41737221,0,5752075,0.159845815270556
P0031,Industrial,WCT,2024-01-05,2025-03-21,2025-03-21,140669711,171176437,0,30506726,0.216867766224386
P0033,Commercial,Gamuda,2022-04-25,2022-10-09,2022-10-09,16195252,16195252,0,0,0
P0034,Unknown,Sunway,2022-11-12,2024-02-18,2024-02-18,69583320,69583320,0,0,0
P0035,Infrastructure,Sunway,2022-08-31,2023-05-14,2023-07-08,11653539,14666475,55,3012936,0.25854257663702
P0036,Infrastructure,UEM,2024-03-17,2024-10-03,2024-10-03,131349890,155755397,0,24405507,0.185805309772243
P0037,Unknown,Unknown,2022-08-17,2022-12-09,2022-12-09,111962397,134637416,0,22675019,0.202523522250064
P0038,Residential,IJM,2023-11-27,2025-08-27,2025-08-27,35961814,35653452,0,-308362,-0.0085747064928371
P0039,Infrastructure,Gamuda,2023-09-03,2025-02-18,2025-02-18,122143591,131792699,0,9649108,0.0789980703940496
P0040,Infrastructure,Unknown,2023-12-27,2025-06-15,2025-06-15,149539606,149539606,0,0,0
P0041,Infrastructure,Unknown,2022-03-13,2023-05-15,2023-05-15,38650459,38650459,0,0,0
P0042,Unknown,WCT,2023-12-15,2025-01-10,2025-01-10,56496683,56496683,0,0,0
P0043,Industrial,Unknown,2023-02-20,2024-12-02,2024-12-02,82017814,96372210,0,14354396,0.175015588686624
P0044,Residential,UEM,2023-03-29,2024-01-31,2024-06-19,50551186,50551186,140,0,0
P0045,Industrial,Unknown,2023-11-20,2024-12-31,2024-12-31,44555028,43917663,0,-637365,-0.014305119503011
P0046,Residential,Unknown,2023-10-07,2025-08-16,2025-10-14,137708361,137708361,59,0,0
P0047,Commercial,Unknown,2022-08-13,2023-05-10,2023-09-29,25891448,25891448,142,0,0
P0048,Unknown,Unknown,2023-11-15,2025-08-09,2025-08-09,109290829,109290829,0,0,0
P0049,Commercial,WCT,2022-06-12,2024-01-09,2024-01-09,71158016,71158016,0,0,0
P0050,Commercial,UEM,2023-03-27,2023-09-12,2023-09-12,77937969,94504416,0,16566447,0.212559388094909
P0051,Commercial,Unknown,2023-01-28,2023-10-01,2023-10-01,116365253,126828106,0,10462853,0.0899138937978333
P0052,Industrial,UEM,2023-02-03,2024-12-22,2024-12-22,131738209,131738209,0,0,0
P0054,Residential,WCT,2022-05-11,2024-02-06,2024-02-22,12275151,12969301,16,694150,0.0565492025311949
P0055,Infrastructure,IJM,2023-01-24,2024-03-24,2024-05-27,117293116,117293116,64,0,0
P0056,Residential,UEM,2023-04-27,2023-08-14,2023-08-14,98941764,98941764,0,0,0
P0057,Industrial,WCT,2022-07-24,2022-11-11,2022-11-11,69033920,78305906,0,9271986,0.13431058239196
P0058,Unknown,Gamuda,2024-02-25,2025-06-06,2025-06-06,35744682,34219028,0,-1525654,-0.0426819855328409
P0059,Residential,WCT,2022-11-16,2024-09-25,2025-01-09,58238744,58238744,106,0,0
P0060,Unknown,SP Setia,2024-05-20,2026-04-24,2026-04-24,16024411,16824546,0,800135,0.049932256480441
P0061,Industrial,Sunway,2022-01-13,2023-06-17,2023-06-17,121373051,136235762,0,14862711,0.122454786112281
P0062,Infrastructure,UEM,2024-01-22,2025-10-07,2025-10-07,149464689,149464689,0,0,0
P0064,Unknown,Gamuda,2023-05-22,2024-07-17,2024-09-11,61940488,63958364,56,2017876,0.0325776574443521
